TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
07:29.6,0,0.5941927,0.22982599,0.826605,0,0.2993282,-0.035542723,0.91309786,0,0.6261293,0.31261232,1.190.459,0,0.6674796,0.76073956,12.401.062,0,0.842246,0.5097772,10.664.222,1.210.403,9.863.736,868.315,8.066.667,7.764.469,-0.033203125,-0.047302246,101.849.365.234.375,3.701.019.287.109.370,-669.921.875,0.628051758,1,4,1,1,1,75,,203,RHS,Female,No,Right
07:30.6,0,0.5941927,0.22982599,0.826605,0,0.2993282,-0.035542723,0.91309786,0,0.6261293,0.31261232,1.190.459,0,0.6674796,0.76073956,12.401.062,0,0.842246,0.5097772,10.664.222,63.663.002,11.991.208,92.271.063,8.119.048,68.336.993,-0.024291992,-0.045166016,101.702.880.859.375,3.805.694.580.078.120,-57.122.802.734.375,-0.777587891,1,4,1,1,1,75,,203,RHS,Female,No,Right
07:31.7,0,0.5941927,0.22982599,0.826605,0,0.2993282,-0.035542723,0.91309786,0,0.6261293,0.31261232,1.190.459,0,0.6674796,0.76073956,12.401.062,0,0.842246,0.5097772,10.664.222,6.567.766,12.289.377,9.210.989,7.925.641,79.860.803,-0.020996094,-0.040771484,101.885.986.328.125,3.207.550.048.828.120,-39.178.466.796.875,0.284118652,1,4,1,1,2,75,,203,RHS,Female,No,Right
07:32.7,0,0.5941927,0.22982599,0.93383145,0,0.2993282,-0.035542723,0.47047317,0,0.6261293,0.31261232,0.7460941,0,0.6674796,0.76073956,0.7778516,0,0.842246,0.5097772,0.74580336,16.157.509,11.435.165,9.190.842,8.260.073,83.849.817,-0.014709473,-0.037658691,101.318.359.375,33.795.166.015.625,-6.041.259.765.625,-0.762634277,1,4,1,1,1,75,,203,RHS,Female,No,Right
07:33.7,0,0.5941927,0.22982599,0.9116225,0,0.2993282,-0.035542723,0.6332246,0,0.6261293,0.31261232,10.006.849,0,0.6674796,0.76073956,0.7767327,0,0.842246,0.5097772,0.7098875,50.003.662,7.434.066,7.716.117,80.505.493,7.897.436,-0.01739502,-0.051269531,10.106.201.171.875,3.170.166.015.625,-4.658.050.537.109.370,-0.97946167,1,4,1,1,1,75,,203,RHS,Female,No,Right
07:34.7,0,0.5941927,0.22982599,0.7480544,0,0.2993282,-0.035542723,0.5221824,0,0.6261293,0.31261232,10.638.406,0,0.6674796,0.76073956,0.9733294,0,0.842246,0.5097772,0.87434345,11.648.718,891.685,83.728.937,787.326,7.752.381,-0.012207031,-0.043212891,101.556.396.484.375,2.699.127.197.265.620,-5.973.968.505.859.370,157.012.939.453.125,1,4,1,1,1,75,,203,RHS,Female,No,Right
07:35.7,0,0.5941927,0.22982599,0.6276034,0,0.2993282,-0.035542723,0.27829102,0,0.6261293,0.31261232,0.9149043,0,0.6674796,0.76073956,0.9034168,0,0.842246,0.5097772,0.7477872,96.824.176,839.707,78.490.845,8.590.476,63.300.366,-0.009521484,-0.044006348,101.397.705.078.125,3.252.410.888.671.870,-418.701.171.875,0.373840332,1,4,1,1,1,85,,203,RHS,Female,No,Right
07:35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,203,RHS,Female,No,Right
07:36.7,0,0.5941927,0.22982599,0.6755912,0,0.2993282,-0.035542723,0.22086032,0,0.6261293,0.31261232,0.81515735,0,0.6674796,0.76073956,0.87341845,0,0.842246,0.5097772,0.7012373,16.008.425,9.992.674,86.509.155,8.147.253,75.509.155,-0.004272461,-0.041015625,10.159.912.109.375,396.270.751.953.125,-5.301.055.908.203.120,-0.149536133,1,4,1,1,1,85,,203,RHS,Female,No,Right
07:37.8,0,0.5941927,0.22982599,0.33280605,0,0.2993282,-0.035542723,0.20192735,0,0.6261293,0.31261232,10.384.328,0,0.6674796,0.76073956,0.842117,0,0.842246,0.5097772,0.40590402,105.567.764,10.411.721,8.679.121,8.175.458,74.421.246,0.01184082,-0.040466309,101.776.123.046.875,267.669.677.734.375,-614.593.505.859.375,-0.04486084,1,4,1,1,1,85,,203,RHS,Female,No,Right
07:38.8,0,0.07192949,0.3136245,0.30489108,0,0.05065474,-0.12846345,0.16081356,0,0.4746232,0.2654305,0.7950992,0,0.88381666,0.47134253,0.6336287,0,0.66938496,0.21663746,0.3406127,97.468.866,94.487.177,83.728.937,8.135.165,8.332.601,0.012207031,-0.040649414,1.017.578.125,294.586.181.640.625,-4.089.813.232.421.870,-0.82244873,1,4,1,1,1,85,,203,RHS,Female,No,Right
07:39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,203,RHS,Female,No,Right
07:39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,203,RHS,Female,No,Right
07:39.8,0,0.48709735,0.4019441,0.6841811,0,0.15624103,-0.28679466,0.32127997,0,0.6243833,0.57291853,11.003.652,0,0.8671363,0.34397545,0.53222704,0,0.56625336,0.30104804,0.32517138,13.050.916,97.992.676,85.139.197,8.155.311,8.119.048,0.009094238,-0.038574219,101.910.400.390.625,3.372.039.794.921.870,-5.166.473.388.671.870,0.583190918,1,4,1,1,1,85,,203,RHS,Female,No,Right
07:40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,203,RHS,Female,No,Right
07:40.8,0,0.36645293,0.13353638,0.4789484,0,0.18856025,0.01759628,0.3233672,0,0.6636099,0.45535058,10.462.375,0,0.78145593,0.22981977,0.57494307,0,0.4854289,0.05986869,0.23894644,52.703.296,8.433.333,80.505.493,81.150.183,7.252.747,0.023254395,-0.041381836,10.130.615.234.375,3.641.204.833.984.370,-562.255.859.375,-0.179443359,1,4,1,1,1,85,,203,RHS,Female,No,Right
07:40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,203,RHS,Female,No,Right
07:41.8,0,0.5104838,0.08954558,0.6008207,0,0.40462878,0.11645881,0.5944813,0,0.59821147,0.23245592,0.9811548,0,0.6945398,0.066501714,0.6100274,0,0.43494934,-0.18587133,0.3188269,0,7.357.509,8.002.198,8.227.839,7.514.652,0.032470703,-0.044799805,10.164.794.921.875,3.357.086.181.640.620,-5.465.545.654.296.870,0.456085205,1,4,1,1,1,85,,203,RHS,Female,No,Right
